Scene,DR_log10
507,2.969568875402084
Ahwahnee Great Lounge,3.5175408703323687
Air Bellows Gap,3.24829807113843
Amikeus Beaver Dam (PM1),3.3751447497241376
Amikeus Beaver Dam (PM2),3.2216034844101937
Artist Palette,1.0998438581127181
Balanced Rock,2.940449967406977
Bandon Sunset (1),2.3485409850581074
Bandon Sunset (2),2.181084569437515
Bar Harbor Presunrise,2.4015782415390996
Bar Harbor Sunrise,3.334065756506145
Ben&Jerry's,2.0289529964074258
Bigfoot Pass,1.0085436649843842
Blooming Gorse (1),1.9548960609983836
Blooming Gorse (2),2.188305624366078
Cades Cove,2.126142572348068
Canadian Falls,2.10213286874215
Cemetery Tree (1),2.6819746371478623
Cemetery Tree (2),2.6851456717956594
Delicate Arch,1.6477993565984137
Delicate Flowers,1.7475369298252459
Devil's Bathtub,2.4532574029563583
Devil's Golf Course,1.5773577514974866
Devil's Tower,2.9646362845952767
El Capitan,1.8055030148912454
Exploratorium (1),1.8698680933340734
Exploratorium (2),2.587326494208516
Flamingo,3.6832813983992496
Four Corners Storm,1.38872303699388
Frontier,3.3757445669593693
General Grant,2.8454056513253705
General Sherman,2.2689950073178187
Golden Gate (1),1.9426337584888502
Golden Gate (2),2.4241116539525254
HDR Mark,3.5253578568329895
Half Dome Sunset,2.492783401508473
Hall of Fame,2.2988277438653597
Hancock Kitchen Inside,3.4688783252965485
Hancock Kitchen Outside,2.416103422007846
Hancock Seed Field,1.5614400028753181
Hoover Dam,1.7642149765031916
Hoover Garage,3.5103907816489706
Jesse Brown's Cabin,3.127715978365663
Kings Canyon,2.177586028429773
Lab Booth,3.224783567499247
Lab Typwriter,3.73073222887625
Lab Window,3.814112696499342
Lady Bird Redwoods,3.464055838866121
Las Vegas Store,3.6363811548812155
Letchworth Tea Table (1),3.2402843707174864
Letchworth Tea Table (2),2.923074390686644
Little River,2.878426302045077
Luxo Double Checker,4.580050063005742
M3 Middle Pond,2.1830345230663615
Mackinac Bridge,1.6387516510611713
Mammoth Hot Springs,2.349416118228172
Mason Lake (1),2.2619369429517993
Mason Lake (2),1.9652289819194
McKee's Pub,2.6104951581591394
Middle Pond,1.8348422863017482
Mirror Lake,1.9287917011259879
Mt. Rushmore (1),3.087950017050732
Mt. Rushmore (2),3.274635161199492
Mt. Rushmore Flags,2.8929789874621705
Niagara Falls,1.6693254904767805
North Bubble,2.13288206557764
O Canada! (Lights),3.0821435543447606
O Canada! (No Lights),3.0828271064411776
Old Faithful Inn,2.8766108642475747
Otter Point,2.8744410943841543
Paul Bunyan,2.0274191110294666
Peck Lake,2.526941400951343
Peppermill,3.4587121803876637
Petroglyphs,1.9935932226359632
RIT Tiger,2.1104358290857577
Redwood Sunset,2.8224267102456273
Road's End Fire Damage,2.7888225777267444
Round Barn Inside,3.129417734021527
Round Stone Barn,2.6799237126189794
Route 66 Museum,1.9129771444919923
Sequoia Remains,2.7464843758798834
Smoky Tunnel,2.7140821252753646
South Branch Kings River,2.3178018267516083
Sunset Point (1),2.083972431225659
Sunset Point (2),2.225649035522216
Taughannock Falls,2.0668889617787873
The Grotto,1.9845387453719154
The Narrows (1),3.021673164824271
The Narrows (2),2.514127113862001
The Narrows (3),2.8740910745026147
Tunnel View (1),2.0507907654707824
Tunnel View (2),1.7710950842721462
Tupper Lake (1),0.9205812785078649
Tupper Lake (2),1.2182835799082719
UR Chapel (1),3.4214236541974627
UR Chapel (2),2.931188276819213
Upheaval Dome,1.4019304678435838
Waffle House,3.7904898791206922
Wall Drug,2.896380746050624
West Branch Ausable (1),2.6238140065307176
West Branch Ausable (2),2.6566232937772196
Willy Desk,3.3564940417623434
Willy Sentinel,2.9694932964002763
Yosemite Falls,2.962949184265868
Zentrum,3.389104860409896
